ParticipantId,chatbot_conversation_history_personalization,search_history_personalization,email_personalization,device_personalization,chatbot_conversation_history_valuation,search_history_valuation,email_valuation,device_valuation,search_engine_history,popularity_history,content_mod_history,product_recs_history,concerned_pc,trust_pc,privacy_important_pc,concerns_gpt_pc,private_gpt_pc,inaccurate_info_concern,not_understanding_what_AI_can_do_concern,misused_concern,Usage,year_start_using,account_type,role,location,purpose,content,consent,anonymity,privacy,appropriate_score,concern_score
0,80,10,0,0,90,40,0,0,60,0,60,0,80,60,100,40,80,70,40,60,Daily,2023 or earlier,ChatGPT Free Subscription,a hospital,the US,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,10,90
1,80,50,15,15,80,80,10,10,80,80,80,80,71,50,90,70,50,80,50,70,Weekly,2024,ChatGPT Free Subscription,a charitable foundation,the European Union,assessing mental health,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,anonymized,not removed,70,60
2,69,0,0,17,0,0,0,0,0,0,0,65,98,12,90,100,2,90,92,99,Daily,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,China,improving user experience with AI,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,not anonymized,not removed,0,100
3,78,26,2,7,95,10,0,0,17,0,2,0,100,19,100,100,19,87,31,100,Monthly,2024,ChatGPT Free Subscription,a university computer science researcher,the European Union,creating a public dataset for AI research,All of your conversations with ChatGPT,not informed that your data was collected,not anonymized,automatically removed,16,100
4,60,10,0,50,88,9,0,50,55,0,0,31,100,12,96,89,25,86,95,77,Daily,2024,ChatGPT Free Subscription,an insurance company,the US,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,asked for consent in advance of the data being collected,not anonymized,not removed,76,25
5,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,100,100,Monthly,2023 or earlier,ChatGPT Free Subscription,an insurance company,the European Union,fighting terrorism,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,0,100
6,100,20,5,20,29,20,10,25,30,39,70,61,80,31,72,71,32,90,41,97,Weekly,2024,ChatGPT Free Subscription,an insurance company,the US,training future AI models,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,20,70
7,13,0,0,0,14,0,0,0,0,0,0,0,100,21,100,85,18,77,91,100,Monthly,2024,ChatGPT Free Subscription,an insurance company,the European Union,studying AI risks to society,Your conversations with ChatGPT where you used the model to help with your job,informed that your data was collected,anonymized,automatically removed,0,100
8,81,0,0,0,100,0,0,0,0,0,0,0,100,0,100,100,0,100,65,100,Weekly,2024,ChatGPT Free Subscription,a hospital,the US,creating a public dataset for AI research,Your conversations with ChatGPT about your personal health and wellness,informed that your data was collected,not anonymized,automatically removed,0,100
9,46,8,0,3,53,45,0,0,37,54,53,60,70,54,100,25,80,87,63,77,Less than Monthly,2025,No Account,a hospital,China,personalizing advertising,Your conversations with ChatGPT about your personal health and wellness,not informed that your data was collected,not anonymized,automatically removed,0,100
10,71,70,60,50,70,70,70,60,61,20,20,66,90,19,91,81,18,80,60,70,Weekly,2024,ChatGPT Free Subscription,a hospital,the European Union,improving user experience with AI,Your conversations with ChatGPT about social life and personal relationships,informed that your data was collected,not anonymized,automatically removed,19,70
11,100,70,40,20,100,70,40,20,70,10,50,80,60,30,80,50,50,60,50,50,Weekly,2023 or earlier,ChatGPT Free Subscription,a big tech company,the European Union,improving user experience with AI,All of your conversations with ChatGPT,informed that your data was collected,anonymized,not removed,25,75
12,68,27,11,12,71,31,15,13,35,4,8,22,82,30,100,67,31,72,34,78,Less than Monthly,2024,No Account,a university social science researcher,the US,training future AI models,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,automatically removed,0,100
13,41,33,31,25,27,29,19,35,36,32,28,36,87,27,82,78,50,79,69,71,Weekly,2023 or earlier,ChatGPT Free Subscription,a charitable foundation,the European Union,training future AI models,Your conversations with ChatGPT where you sought legal or ethical guidance,asked for consent in advance of the data being collected,anonymized,automatically removed,27,80
14,30,0,0,0,80,0,0,0,100,0,0,60,100,10,100,85,0,80,40,100,Weekly,2024,ChatGPT Free Subscription,a government agency,China,improving user experience with AI,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,40,70
15,24,36,35,26,30,27,34,23,27,14,17,22,80,50,93,76,70,77,61,68,Daily,2024,ChatGPT Plus,a university computer science researcher,the US,personalizing advertising,Your conversations with ChatGPT where you used the model to help with your job,not informed that your data was collected,not anonymized,not removed,22,86
16,0,0,0,0,0,0,0,0,0,0,0,0,100,50,50,100,50,100,100,100,Weekly,2023 or earlier,ChatGPT Free Subscription,a university computer science researcher,the European Union,creating a public dataset for AI research,Your conversations with ChatGPT where you sought legal or ethical guidance,informed that your data was collected,anonymized,automatically removed,0,100
17,68,13,0,0,72,0,0,0,63,50,50,62,79,19,90,91,9,84,88,86,Monthly,2024,ChatGPT Free Subscription,a government agency,the European Union,improving user experience with AI,Your conversations with ChatGPT about social life and personal relationships,asked for consent in advance of the data being collected,anonymized,automatically removed,80,50
