,Index,ParticipantId,Details of your physical location over a period of time,Content of your email messages,Content of your text phone conversations*,State of your health and medications you take,Content of your verbal phone conversations*,Social Security Number,Your religious and spiritual views,Content of your social media posts,Who your friends are and what they are like,Your basic purchasing habits – things like the food and clothes and stores you prefer,The media you like,Content of your conversations with chatbots like ChatGPT,Your political views and the candidates you support,Record of the websites you have visited online
0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1,2,2,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0
2,3,3,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
3,4,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0
4,5,7,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0
5,6,8,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
6,7,9,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
7,8,11,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0
8,9,12,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
9,10,14,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0
10,11,15,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
11,12,16,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0
12,13,17,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
13,14,18,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0
14,15,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
15,16,20,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
16,17,21,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
17,18,22,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0
18,19,23,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
19,20,24,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
20,21,25,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0
21,22,26,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
22,23,27,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0
23,24,28,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
24,25,29,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
25,26,30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
26,27,31,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
27,28,32,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
28,29,33,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
29,30,34,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0
30,31,35,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
31,32,36,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
32,33,37,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
33,34,39,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
34,35,40,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0
